OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
1,4.8113E+11,4.8113E+11,48,113,7825,4,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,73.5950285,0,73.5950285,73.5950285,1202,460,423,0.549,69,0.163120567,39,0.092198582,315,0.744680851,412,99,122,191,0.240291262,66,20,3,0,19,24,20,3,0,15,24,0,4,0,21,27,18,0.318181818,6.250422201,16.33262497,0.896799707,0.271757487,0.040763623,0,0.258169613,0.326108984,0.271757487,0.040763623,0,0.203818115,0.326108984,0,0.054351497,0,7.147221908,0,0.156028369,0.886263937,0.763386204,0.855441777,0.662091432,0.348911599,0.526295799,0.585916036,0.287128311,0.104100946,0.276150628,6.242424242,0.005287423,23.53489981,0,10.65527725,12.87962256,115.9817473,0,60.87367709,8.696239584,34.78495833,43.48119792,362.1,0,0,4.33,37.6547174,0.003602329,433601,303660,135362,53504,0.000397944,0.785893462,0.000357645,0.841298602,0.000525075,0.184696707,0.000475598,0.137706673,6,14,15,17,14,3110.36082,297836.0831
2,4.8113E+11,4.8113E+11,48,113,7825,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,119.8299095,0,119.8299095,119.2142,710,409,409,0.466,0,0,168,0.410757946,241,0.589242054,395,76,107,212,0.192405063,25,7,0,3,15,0,7,0,3,13,0,0,2,0,10,4,11,0.4,3.430799351,5.955666355,0.209706562,0.058717837,0,0.025164787,0.125823937,0,0.058717837,0,0.025164787,0.109047412,0,0,0.016776525,0,3.640505913,0,0.061124694,0.835014679,0.569986193,0.831686329,0.554457553,0.197047324,0.24848111,0.271309324,0.00203268,0.068027211,0.119047619,15.8,3.7363E-07,22.89336566,0.755137051,2.859482038,19.27874657,80.14560004,5.340903641,10.68180728,10.68180728,85.45445826,5.340903641,718.84,0,0.009516414,4.33,23.12611277,0.006098592,386504,272135,236885,90089,0.00035472,0.700531057,0.000320516,0.7539577,0.000918888,0.323221283,0.000800804,0.231867832,3,10,12,14,10.83333333,3519.46911,484945.1466
3,4.8113E+11,4.8113E+11,48,113,7825,3,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,26.3670526,0,26.3670526,26.36705,737,365,329,0.811,19,0.05775076,143,0.434650456,167,0.507598784,463,136,189,138,0.293736501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84303515,27.95155317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84303515,0,0,0,0,0,0,0,0,0,0.367879441,0,1,0,0,14.21050888,6.128365271,2.611429576,5.470714031,24.27271678,24.27271678,0,24.27271678,0,0,398.31,0,0,3,72.81815033,0.004070556,404573,288925,230587,82815,0.000371303,0.733280771,0.000340291,0.800474869,0.000894457,0.314627883,0.000736145,0.213146272,1,1,7,17,8.333333333,1697.091802,106705.9281
4,4.8113E+11,4.8113E+11,48,113,7824,1,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,119.0606872,0,119.0606872,119.0606872,904,384,384,0.638,0,0,43,0.111979167,341,0.888020833,431,60,69,302,0.139211137,253,26,0,25,47,155,26,0,25,3,155,2,42,0,121,87,45,0.47826087,3.225245957,7.592766523,2.124966737,0.218376028,0,0.20997695,0.394756667,1.301857092,0.218376028,0,0.20997695,0.025197234,1.301857092,0.016798156,0.352761277,0,5.350212694,0,0.658854167,0.775740273,0.668186301,0.642753699,0.553831403,0.682829823,0.620718568,0.677942635,0.59635098,0.437337943,0.739766082,1.703557312,0.494821933,32.17837344,2.208593582,9.323546717,20.64623315,141.6044237,21.50163971,21.50163971,32.25245957,134.3852482,5.375409928,386.24,0,0.515376911,6.67,35.85398422,0.007378319,423099,298058,168433,79657,0.000388306,0.76685879,0.000351047,0.825778103,0.000653359,0.229820928,0.000708073,0.205018325,16,10,17,17,15.66666667,2922.609204,481828.4303
5,4.8113E+11,4.8113E+11,48,113,7824,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,169.9272106,0,169.9272106,148.74292,948,343,343,0.506,5,0.014577259,67,0.195335277,271,0.790087464,579,91,84,404,0.15716753,32,0,2,10,20,0,0,2,10,19,0,0,1,0,6,9,17,0.1875,2.30599211,6.373412597,0.21513629,0,0.013446018,0.067230091,0.134460181,0,0,0.013446018,0.067230091,0.127737172,0,0,0.006723009,0,2.521128401,0,0.093294461,0.755975243,0.516033383,0.688595255,0.459063503,0.261471982,0.247735303,0.258986283,0.007902649,0.065306122,0.104746318,18.09375,3.76946E-08,22.05865085,2.289659156,3.176070291,16.5929214,65.3079631,3.766318518,0,7.532637036,75.32637036,7.532637036,638.37,0,0.248922255,6.67,25.12134452,0.007035865,335700,238166,120826,48682,0.000308094,0.608449785,0.000280508,0.659845626,0.000468689,0.164862844,0.000432736,0.125295983,4,7,11,14,10.16666667,3731.971773,687684.7752
6,4.8113E+11,4.8113E+11,48,113,7827,1,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,50.6871288,0,50.6871288,50.68713,1336,556,497,0.588,33,0.06639839,351,0.706237425,113,0.227364185,586,143,237,206,0.244027304,3,0,1,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0.666666667,10.96925393,26.35777563,0.059186622,0,0.019728874,0,0.039457748,0,0,0.019728874,0,0.039457748,0,0,0,0,11.02844055,0,0.006036217,0.918295834,0.395488489,0.918295834,0.306098611,0.03686198,0.036887386,0.041066091,0,0.004480956,0.010186757,195.3333333,0,23.21342269,15.03475527,6.40123769,1.777429733,8.421861922,50.50591858,12.62647964,0,0,0,950.85,0,0.094844428,3,37.87943893,0.002245509,402287,289607,138562,52583,0.000369205,0.72913744,0.000341094,0.802364369,0.000537488,0.189062995,0.000467412,0.135336237,1,4,5,13,6.833333333,3109.651786,205126.8414
7,4.8113E+11,4.8113E+11,48,113,9301,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,200.6407522,0,200.6407522,200.6407522,1541,451,368,0.644,11,0.029891304,20,0.054347826,337,0.91576087,481,117,227,137,0.243243243,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.247798591,7.680393854,0.004984032,0,0,0.004984032,0,0,0,0,0.004984032,0,0,0,0,0,2.252782623,0,0.002717391,0,0,0,0,0.027014134,0.002373852,0,0,0.001297017,0.004149378,481,0,13.72503494,0,2.457200359,11.26783459,54.23903111,0,6.37956141,12.75912282,31.89780705,15.94890352,1165.43,0,0.052817433,4,12.75912282,0.002595717,263813,205690,8873,20657,0.000242118,0.478155982,0.000242258,0.569869951,3.44188E-05,0.012106898,0.000183621,0.053166245,1,1,10,13,8,4345.799339,811981.0664
8,4.8113E+11,4.8113E+11,48,113,1102,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,63.9924754,0,63.9924754,63.9924754,583,255,255,0.69,37,0.145098039,77,0.301960784,141,0.552941176,425,49,74,302,0.115294118,52,0,16,0,26,10,0,16,0,21,10,0,5,0,11,19,22,0.211538462,3.984843506,9.110446132,0.812595538,0,0.250029396,0,0.406297769,0.156268373,0,0.250029396,0,0.328163583,0.156268373,0,0.078134186,0,4.797439044,0,0.203921569,0.934166141,0.637667594,0.916877673,0.611251782,0.453537911,0.484261845,0.53912036,0.305874791,0.163779528,0.21802935,8.173076923,0.000766959,20.41686076,0,1.71542818,18.70143258,83.34979959,0,20.00235171,0,0,70.008231,442.57,0,0,5.33,53.30626732,0.009142367,372503,254439,275466,116035,0.00034187,0.675154514,0.000299674,0.704930432,0.001068545,0.375863706,0.001031438,0.298646715,9,12,13,16,13.16666667,2248.148479,258973.571
9,4.8113E+11,4.8113E+11,48,113,11401,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,612.654798,0,612.654798,576.19983,1770,595,507,0.515,42,0.082840237,177,0.349112426,288,0.568047337,597,228,235,134,0.381909548,26,0,1,0,25,0,0,1,0,0,0,0,25,0,12,12,2,0.461538462,1.032627865,3.071850958,0.045123234,0,0.001735509,0,0.043387725,0,0,0.001735509,0,0,0,0,0.043387725,0,1.077751099,0,0.051282051,0.235193382,0.101292276,0.235193382,0.078397794,0.184652094,0.209191334,0.232889104,0.002094626,0.028953229,0.083467095,22.96153846,2.89885E-10,17.24872528,2.161842563,2.806108645,12.28077407,68.97195637,8.357071579,5.223169737,4.178535789,73.12437631,12.53560737,280.29,0.000203855,0.185777299,3,3.133901842,0.001694915,253775,208423,22,512,0.000232906,0.4599623,0.000245477,0.577441805,8.5339E-08,3.00182E-05,4.55118E-06,0.001317767,3,2,11,18,10.5,8246.622195,2479375.452
10,4.8113E+11,4.8113E+11,48,113,11401,3,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,187.1542813,0,187.1542813,176.4912,1790,832,727,0.578,227,0.312242091,396,0.544704264,104,0.143053645,751,269,358,124,0.358189081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.714116058,10.14214873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.714116058,0,0,0,0,0,0,0,0,0,0.367879441,0,1,0,0,16.44730515,0,7.05242852,9.394876635,53.59257576,0,13.6785543,17.09819288,41.03566291,0,619.6,0,0,4,13.6785543,0.002234637,233145,192620,9,678,0.000213972,0.422570823,0.000226864,0.533659147,3.49114E-08,1.22802E-05,6.02676E-06,0.001745012,1,1,10,15,8.666666667,3669.658355,757402.0068
